Transaction_Date,Customer_ID,Product_Category,Revenue,Year,Month,Day,Day_of_Week
2026-02-21,CUST-1006,Keyboard,68.69,2026,2,21,Saturday
2026-04-03,CUST-1008,Laptop,458.92,2026,4,3,Friday
2026-01-15,CUST-1014,Laptop,756.64,2026,1,15,Thursday
2026-03-13,CUST-1014,Monitor,611.22,2026,3,13,Friday
2026-03-02,CUST-1009,Keyboard,1029.94,2026,3,2,Monday
2026-03-24,CUST-1018,Desk Chair,208.08,2026,3,24,Tuesday
2026-03-28,CUST-1006,Keyboard,98.62,2026,3,28,Saturday
2026-03-16,CUST-1016,Keyboard,776.27,2026,3,16,Monday
2026-03-16,CUST-1019,Keyboard,46.42,2026,3,16,Monday
2026-03-29,CUST-1003,Mouse,666.19,2026,3,29,Sunday
2026-04-10,CUST-1004,Desk Chair,1129.17,2026,4,10,Friday
2026-01-03,CUST-1012,Monitor,474.98,2026,1,3,Saturday
2026-01-22,CUST-1014,Laptop,777.3,2026,1,22,Thursday
2026-02-22,CUST-1010,Laptop,558.03,2026,2,22,Sunday
2026-01-02,CUST-1003,Monitor,661.56,2026,1,2,Friday
2026-03-29,CUST-1012,Desk Chair,1130.64,2026,3,29,Sunday
2026-01-30,CUST-1006,Keyboard,472.53,2026,1,30,Friday
2026-02-07,CUST-1018,Monitor,1154.01,2026,2,7,Saturday
2026-01-02,cust-1002,Keyboard,1087.84,2026,1,2,Friday
2026-03-05,CUST-1009,Laptop,247.01,2026,3,5,Thursday
2026-03-01,CUST-1012,Laptop,97.19,2026,3,1,Sunday
2026-01-21,CUST-1005,Monitor,134.42,2026,1,21,Wednesday
2026-02-02,CUST-1011,Monitor,36.59,2026,2,2,Monday
2026-03-17,CUST-1011,Desk Chair,-50.0,2026,3,17,Tuesday
2026-02-27,CUST-1019,Desk Chair,824.36,2026,2,27,Friday
2026-01-22,CUST-1010,Keyboard,99.36,2026,1,22,Thursday
2026-03-30,CUST-1006,Monitor,392.99,2026,3,30,Monday
2026-02-18,CUST-1000,Laptop,1016.18,2026,2,18,Wednesday
2026-04-01,CUST-1000,Desk Chair,42.58,2026,4,1,Wednesday
2026-02-28,CUST-1019,Desk Chair,980.15,2026,2,28,Saturday
2026-02-11,CUST-1012,Laptop,349.0,2026,2,11,Wednesday
2026-04-02,CUST-1008,Desk Chair,155.03,2026,4,2,Thursday
2026-03-01,CUST-1002,Keyboard,840.63,2026,3,1,Sunday
2026-03-21,CUST-1006,Mouse,760.3,2026,3,21,Saturday
2026-01-15,CUST-1005,Laptop,1054.8,2026,1,15,Thursday
2026-03-03,CUST-1007,Monitor,886.06,2026,3,3,Tuesday
2026-03-03,CUST-1008,Desk Chair,967.12,2026,3,3,Tuesday
2026-02-16,CUST-1004,Desk Chair,349.21,2026,2,16,Monday
2026-03-03,CUST-1000,Laptop,225.27,2026,3,3,Tuesday
2026-02-20,CUST-1018,Keyboard,904.48,2026,2,20,Friday
2026-02-24,CUST-1009,Mouse,971.1,2026,2,24,Tuesday
2026-03-05,CUST-1011,Laptop,1188.75,2026,3,5,Thursday
2026-01-03,CUST-1014,Mouse,503.95,2026,1,3,Saturday
